time,eptot,ektot,etot,temp,pres,volume,density,rmsd
217.0,-105487.9784,22795.2272,-82692.7512,299.91,-187.9,398114.7476,0.9469,0.0
218.0,-105541.8089,22903.4376,-82638.3713,301.33,51.6,397717.2703,0.9478,0.0
219.0,-105240.4306,22755.9688,-82484.4617,299.39,183.4,397530.5933,0.9483,0.0
220.0,-105349.5841,22868.9133,-82480.6707,300.87,31.0,397349.1666,0.9487,0.0
221.0,-105421.5076,22644.252,-82777.2556,297.92,-288.1,396165.6387,0.9516,0.0
222.0,-105547.4029,22725.5001,-82821.9028,298.99,-323.4,396633.3506,0.9504,0.0
223.0,-105403.7613,22930.6404,-82473.1209,301.69,-43.2,395476.2814,0.9532,0.0
224.0,-105522.7075,22705.4209,-82817.2866,298.72,23.8,395877.522,0.9522,0.0
225.0,-105750.8848,22834.1151,-82916.7697,300.42,-26.5,395238.1824,0.9538,0.0
226.0,-105734.2195,22634.6232,-83099.5963,297.79,217.6,395161.8065,0.954,0.0
227.0,-105438.7753,22729.0193,-82709.756,299.03,-236.9,394825.5969,0.9548,0.0
228.0,-105519.552,22767.3717,-82752.1803,299.54,-197.8,394482.5377,0.9556,0.0
229.0,-105324.7308,22766.667,-82558.0639,299.53,-121.3,393129.515,0.9589,0.0
230.0,-105444.9979,22689.3929,-82755.605,298.51,36.2,392420.7187,0.9606,0.0
231.0,-105112.5444,22590.8511,-82521.6934,297.22,-165.9,392125.948,0.9614,0.0
232.0,-105289.7861,22899.8707,-82389.9154,301.28,-126.7,391926.4521,0.9618,0.0
233.0,-105598.1271,22941.7149,-82656.4122,301.83,27.8,391724.1288,0.9623,0.0
234.0,-105395.5888,22782.8697,-82612.7191,299.74,-212.7,392179.3127,0.9612,0.0
235.0,-105415.2526,22807.1254,-82608.1273,300.06,4.9,391551.8417,0.9628,0.0
236.0,-105302.5813,22598.5215,-82704.0598,297.32,77.5,391238.1731,0.9635,0.0
237.0,-105286.7285,22738.9787,-82547.7498,299.17,-109.7,391175.5939,0.9637,0.0
238.0,-105152.9686,22682.1036,-82470.865,298.42,124.8,390806.6915,0.9646,0.0
239.0,-105464.4178,23117.9412,-82346.4767,304.15,-131.0,390909.7915,0.9643,0.0
240.0,-105260.3266,22860.6046,-82399.722,300.77,-16.3,390752.353,0.9647,0.0
241.0,-105096.7166,22855.4039,-82241.3127,300.7,-70.4,390806.417,0.9646,0.0
242.0,-105155.2819,22678.5373,-82476.7446,298.37,-317.6,389792.198,0.9671,0.0
243.0,-105296.7895,22697.6426,-82599.1469,298.62,110.9,389244.0907,0.9685,0.0
244.0,-105404.4537,22734.3818,-82670.0719,299.1,77.5,389320.8773,0.9683,0.0
245.0,-105187.1293,22911.7925,-82275.3368,301.44,-108.7,388955.286,0.9692,0.0
246.0,-105218.9542,22903.5849,-82315.3693,301.33,-337.2,388956.9176,0.9692,0.0
247.0,-105233.7166,22824.2032,-82409.5134,300.29,-172.1,388301.0754,0.9708,0.0
248.0,-105280.243,23106.8673,-82173.3757,304.01,62.7,388210.6299,0.9711,0.0
249.0,-104976.3012,22789.2895,-82187.0117,299.83,-100.0,387768.013,0.9722,0.0
250.0,-105683.8199,22787.9753,-82895.8446,299.81,19.3,387053.2282,0.974,0.0
260.0,-107505.8738,22726.0684,-84779.8055,299.0,26.3,366130.8471,1.0296,0.0
270.0,-107800.8206,22838.8027,-84962.0178,300.48,115.2,361730.4568,1.0421,0.8833
280.0,-107911.2396,22919.1465,-84992.0932,301.54,64.3,362070.7735,1.0412,0.7973
290.0,-107725.597,22800.8691,-84924.7279,299.98,42.0,362156.4269,1.0409,0.8113
300.0,-107848.0814,22855.1191,-84992.9623,300.69,336.5,361564.3548,1.0426,0.8865
310.0,-107915.3264,22886.7168,-85028.6096,301.11,152.4,362084.6909,1.0411,1.0303
320.0,-107977.2899,22918.332,-85058.9579,301.52,184.0,361622.9614,1.0424,1.0456
330.0,-107762.954,22782.4668,-84980.4872,299.74,-32.2,362805.0198,1.0391,1.0883
340.0,-107933.4118,22787.998,-85145.4137,299.81,1.2,361923.7989,1.0416,1.1451
350.0,-108103.9068,23019.6406,-85084.2661,302.86,21.3,361752.0346,1.0421,1.2816
